Obs,ring,doy,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
100,20,233,550,2,40.9873,43.2806,41.885,43.017,43.8801,44.1878,44.342,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
101,24,235,370,2,28.1653,39.3579,43.1163,44.4541,45.1522,45.1053,44.598,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
102,20,235,550,2,40.0305,42.9038,41.9138,42.986,43.8699,44.2681,44.3321,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
103,24,237,370,2,25.19,36.4943,41.8684,44.0645,44.8091,44.5738,44.1263,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
104,20,237,550,2,37.6091,42.466,41.5048,42.5706,43.5585,44.1331,44.0611,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
105,24,243,370,2,32.6682,41.4426,42.7652,44.2032,44.8339,44.7279,44.1243,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
106,20,243,550,2,40.3834,42.7535,41.6071,42.559,43.4454,43.9378,43.9674,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
107,24,245,370,2,30.8381,39.5417,42.31,44.0458,44.8458,44.4925,44.1043,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
108,20,245,550,2,40.0693,42.7268,41.6613,42.6908,43.6201,44.1157,44.1446,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
109,24,249,370,2,36.3207,42.7133,43.1089,44.5578,45.2058,45.0343,44.6811,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
110,20,249,550,2,41.1487,43.3425,41.8321,42.9129,43.9077,44.2801,44.3014,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
111,24,251,370,2,35.1154,42.101,42.8257,44.2266,44.9657,44.7157,44.2589,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
112,20,251,550,2,40.513,43.1456,41.8558,42.8652,43.7235,44.2939,44.2296,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
113,25,165,370,3,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
114,29,165,550,3,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
115,25,167,370,3,36.7207,43.3251,43.6243,45.1482,45.9208,46.0483,44.9106,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
116,29,167,550,3,32.4184,40.5491,41.2159,43.0245,44.793,45.0653,44.5639,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
117,25,172,370,3,36.7103,42.3391,42.7759,44.495,45.5787,45.6058,44.3173,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
118,29,172,550,3,33.3023,39.1242,39.9543,41.9493,44.3194,44.4249,44.1352,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
119,25,174,370,3,33.7604,41.3165,42.6645,44.7526,45.8016,45.8185,44.5821,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
120,29,174,550,3,30.3984,37.1293,39.5931,41.9904,44.5181,44.6219,44.5553,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
121,25,177,370,3,30.9039,39.0426,41.7124,44.1731,45.4759,45.6392,44.2577,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
122,29,177,550,3,28.1936,34.6572,38.6321,41.4206,44.1332,44.3932,44.1405,26.1874,38.1529,40.5462,42.0713,43.8015,45.0945,44.0785
123,25,179,370,3,31.1817,37.8642,41.0379,43.6033,44.8543,45.0881,44.0101,30.2058,40.8893,42.5284,44.3263,45.0008,45.8514,44.979
