Obs,ring,DOY,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
167,14,215,550,3,25.2122,35.7247,39.2732,41.674,42.2918,43.1131,41.7573,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
168,10,218,370,3,23.3659,28.8926,32.1503,32.6918,34.0777,37.0506,41.8085,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
169,14,218,550,3,23.7828,34.4798,37.4412,40.4744,42.0375,43.753,43.4223,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
170,10,220,370,3,21.7495,27.1346,30.6992,32.1271,32.9259,35.5497,40.9669,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
171,14,220,550,3,20.4453,32.0968,35.9718,39.8088,42.3154,43.4229,43.7443,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
172,10,222,370,3,20.3552,26.07,29.7865,31.1672,32.0313,34.316,39.6169,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
173,14,222,550,3,22.2441,32.8275,36.5021,40.1407,41.6902,43.4739,43.0914,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
174,10,225,370,3,19.3797,24.4656,28.2074,29.4935,29.92,31.6329,36.9029,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
175,14,225,550,3,21.4558,31.4868,35.1016,38.9697,40.1886,42.1359,42.0788,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
176,10,227,370,3,21.0434,25.0943,28.1595,29.356,29.4158,31.0239,36.1705,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
177,14,227,550,3,23.2826,31.8462,35.0089,38.7149,39.7959,42.1427,42.0285,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
178,10,229,370,3,21.3094,25.0268,28.1153,29.2042,29.5094,30.8515,35.9306,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
179,14,229,550,3,24.0019,32.0797,35.2045,38.5705,39.6119,42.0134,41.8477,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
180,10,236,370,3,23.0431,25.9577,28.1498,29.2069,29.177,30.1789,34.8513,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
181,14,236,550,3,25.6343,32.6462,35.1058,38.4997,39.8704,42.2023,41.9809,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
182,10,242,370,3,21.7417,25.2761,27.6927,28.5219,28.2677,29.1572,33.46,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
183,14,242,550,3,24.686,32.8116,35.219,38.2857,38.9751,41.486,41.4228,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
184,10,247,370,3,19.1488,23.8497,26.9372,28.1016,27.7757,28.3476,32.184,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
185,14,247,550,3,21.9362,31.745,34.7674,37.8482,38.6715,41.2707,41.4868,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
186,10,249,370,3,18.3755,23.304,26.7693,27.9335,27.5865,27.9535,31.6898,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
187,14,249,550,3,21.0619,31.334,34.6315,37.7276,38.4744,41.0818,41.18,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
188,10,254,370,3,31.9371,33.4469,32.3798,29.9334,28.332,28.712,32.5334,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
189,14,254,550,3,36.0143,40.8304,39.3077,40.3235,39.3476,40.9202,40.7872,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
190,10,256,370,3,29.5702,33.1524,32.6059,30.402,28.6717,28.8575,32.8579,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
191,14,256,550,3,34.1998,40.1994,38.9622,40.0521,39.0901,40.8226,40.7968,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
192,11,163,370,4,30.8479,36.5952,38.3475,40.4136,40.3607,42.7546,42.0374,38.8692,40.0173,39.859,40.8897,41.5707,43.5979,42.62
193,15,163,550,4,24.9359,33.5272,39.4692,40.797,41.8099,43.1497,42.8779,35.6663,40.1465,41.9029,42.2342,42.5258,43.6781,43.1497
194,11,166,370,4,30.0502,36.6902,38.7283,40.565,41.1287,43.4125,42.6468,38.8692,40.0173,39.859,40.8897,41.5707,43.5979,42.62
195,15,166,550,4,24.4001,33.1949,39.7037,41.3867,42.2098,43.5609,43.1273,35.6663,40.1465,41.9029,42.2342,42.5258,43.6781,43.1497
196,11,170,370,4,29.1309,35.7148,38.2883,40.714,41.079,43.4372,42.3668,38.8692,40.0173,39.859,40.8897,41.5707,43.5979,42.62
197,15,170,550,4,23.9898,31.6995,39.2933,40.9001,41.8358,43.3784,42.8715,35.6663,40.1465,41.9029,42.2342,42.5258,43.6781,43.1497
198,11,171,370,4,29.6535,36.0661,38.0656,39.8709,41.1516,43.3111,42.5444,38.8692,40.0173,39.859,40.8897,41.5707,43.5979,42.62
199,15,171,550,4,24.1339,31.7819,38.8903,41.0103,42.0489,43.454,43.18,35.6663,40.1465,41.9029,42.2342,42.5258,43.6781,43.1497
200,11,173,370,4,34.9575,37.1013,38.436,40.6134,40.5021,42.6588,41.965,38.8692,40.0173,39.859,40.8897,41.5707,43.5979,42.62
201,15,173,550,4,28.24,32.0436,38.9166,40.6033,41.625,43.1486,42.7866,35.6663,40.1465,41.9029,42.2342,42.5258,43.6781,43.1497
